1.000000000000000056e-01	1.196323362042885224e-01	1.316493406098196139e+01	2.556688399242526941e+02
1.196323362042885224e-01	1.431189586569592276e-01	1.123519582846145504e+01	2.186728482903704958e+02
1.431189586569592276e-01	1.712165537925701975e-01	9.431968222589382833e+00	1.836976576494763265e+02
1.712165537925701975e-01	2.048303632705240906e-01	7.749247884235542116e+00	1.508939408985166608e+02
2.048303632705240906e-01	2.450433488362588896e-01	6.252922865407127162e+00	1.216813322863820588e+02
2.450433488362588896e-01	2.931510829260408624e-01	4.954655594930676976e+00	9.654013677779553859e+01
2.931510829260408624e-01	3.507034891125938580e-01	3.880429118778123687e+00	7.560811729995758412e+01
3.507034891125938580e-01	4.195547771753486699e-01	2.996554295334156848e+00	5.839517664628139926e+01
4.195547771753486699e-01	5.019231815915666806e-01	2.264295371643468169e+00	4.412874287818370078e+01
5.019231815915666806e-01	6.004624280888847254e-01	1.684462162269169783e+00	3.281803727001288706e+01
6.004624280888847254e-01	7.183472307517289046e-01	1.230510316820686789e+00	2.398137557314485235e+01
7.183472307517289046e-01	8.593755742071046422e-01	8.785201105130040489e-01	1.712225084137168807e+01
8.593755742071046422e-01	1.028091076192978459e+00	6.163158852790255882e-01	1.201053048808839563e+01
1.028091076192978459e+00	1.229929372757472272e+00	4.236351647433725387e-01	8.254237659887163403e+00
1.229929372757472272e+00	1.471393242292516002e+00	2.885034424536488395e-01	5.621671079288462991e+00
1.471393242292516002e+00	1.760262110506564781e+00	1.964838916934899538e-01	3.828775187493754117e+00
1.760262110506564781e+00	2.105842686117918916e+00	1.361705391032066170e-01	2.653744511267293937e+00
2.105842686117918916e+00	2.519268802190008483e+00	9.687639072289504216e-02	1.888044294937966772e+00
2.519268802190008483e+00	3.013860123325704077e+00	7.105429999443170497e-02	1.384859132843474061e+00
3.013860123325704077e+00	3.605551275463990013e+00	5.346485027330183382e-02	1.042074763507163215e+00
3.605551275463990013e+00	4.313405223881094486e+00	4.077894875605053010e-02	7.948043013198565765e-01
4.313405223881094486e+00	5.160227439286776630e+00	3.124412120625336478e-02	6.089961483273870213e-01
5.160227439286776630e+00	6.173300639073503682e+00	2.387812521689477996e-02	4.654112696464499654e-01
6.173300639073503682e+00	7.385263775437907796e+00	1.811775862042775201e-02	3.530399576332395317e-01
7.385263775437907796e+00	8.835163589405411244e+00	1.365482659017939158e-02	2.660826704219541594e-01
8.835163589405411244e+00	1.056971260947636537e+01	1.016894147386190363e-02	1.981602469140263945e-01
1.056971260947636537e+01	1.264479412479584575e+01	7.486221730323064545e-03	1.458641172145991316e-01
1.264479412479584575e+01	1.512726261971589281e+01	5.425533903597843863e-03	1.056830408561681561e-01
1.512726261971589281e+01	1.809709767572418571e+01	3.854360536294877248e-03	7.507335053000366298e-02
1.809709767572418571e+01	2.164998073464082395e+01	2.682330550374458812e-03	5.224209117530467100e-02
2.164998073464082395e+01	2.590037774062921372e+01	1.821137857178863062e-03	3.540743844735849688e-02
2.590037774062921372e+01	3.098522697685025662e+01	1.191538091317079781e-03	2.316460022796135165e-02
3.098522697685025662e+01	3.706835091060741405e+01	7.498307982571659298e-04	1.457471383202995144e-02
3.706835091060741405e+01	4.434573418676331613e+01	4.559917023013320986e-04	8.777896724197698647e-03
4.434573418676331613e+01	5.305183781456876346e+01	2.652214315310788290e-04	5.025871192331532109e-03
5.305183781456876346e+01	6.346715297687879342e+01	1.512123282275098569e-04	2.716797482384114386e-03
6.346715297687879342e+01	7.592723782858976733e+01	7.807452459465666675e-05	1.317991877295765458e-03
7.592723782858976733e+01	9.083352842972827546e+01	4.448360171912846316e-05	6.836089720352322985e-04
9.083352842972827546e+01	1.086662721172705517e+02	4.918062784412295056e-05	7.821797190431855956e-04
1.086662721172705517e+02	1.300000000000000568e+02	1.910497484809302567e-05	1.482743139967101944e-04
